,wind_speed,hourly_highest,hourly_lowest,24_avg_temp,sunshine_duration,24_precipitation,24_avg_humidity,evaporation,Year-Month,flu: (Netherlands),Influenza: (Netherlands),Griep: (Netherlands),Total Search,ISO_YEAR,ISO_WEEK,INF_A,INF_B,ILI_ACTIVITY,SPEC_PROCESSED_NB
14,27.548387096774192,50.96774193548387,14.516129032258064,106.93548387096774,39.61290322580645,28.806451612903224,84.54838709677419,8.96774193548387,2009-10,41,31,43,115,8036,170,488.0,0.0,24.0,631.0
15,45.2,69.0,30.666666666666668,94.73333333333333,17.1,39.93333333333333,86.6,3.3666666666666667,2009-11,76,53,100,229,10045,235,655.0,0.0,30.0,870.0
16,33.03225806451613,52.58064516129032,22.903225806451612,22.258064516129032,19.258064516129032,27.0,87.06451612903226,2.096774193548387,2009-12,25,14,16,55,8036,206,44.0,0.0,22.0,126.0
17,29.548387096774192,48.064516129032256,17.419354838709676,-4.548387096774194,23.29032258064516,13.03225806451613,87.19354838709677,2.774193548387097,2010-01,11,9,5,25,8040,10,7.0,2.0,15.0,77.0
18,31.392857142857142,55.714285714285715,18.571428571428573,16.0,18.857142857142858,27.357142857142858,84.71428571428571,4.0,2010-02,8,8,4,20,8040,26,1.0,2.0,12.0,59.0
19,33.32258064516129,56.45161290322581,19.032258064516128,64.35483870967742,46.61290322580645,17.451612903225808,76.25806451612904,11.709677419354838,2010-03,8,10,2,20,10050,55,1.0,0.0,12.0,38.0
20,29.233333333333334,53.0,15.333333333333334,97.23333333333333,82.03333333333333,10.133333333333333,68.36666666666666,24.133333333333333,2010-04,6,7,2,15,8040,62,1.0,2.0,8.0,33.0
21,28.419354838709676,49.03225806451613,11.935483870967742,104.93548387096774,61.32258064516129,21.161290322580644,75.6774193548387,24.29032258064516,2010-05,6,5,1,12,10050,100,1.0,1.0,11.0,22.0
22,22.533333333333335,46.0,11.333333333333334,164.4,93.66666666666667,5.966666666666667,70.73333333333333,37.333333333333336,2010-06,6,6,1,13,8040,98,0.0,1.0,8.0,9.0
23,19.225806451612904,48.064516129032256,10.32258064516129,198.74193548387098,82.58064516129032,24.741935483870968,70.3225806451613,36.61290322580645,2010-07,6,6,1,13,8040,114,0.0,0.0,8.0,2.0
24,25.70967741935484,51.61290322580645,11.290322580645162,167.8709677419355,52.58064516129032,50.03225806451613,80.2258064516129,22.516129032258064,2010-08,6,5,1,12,10050,165,0.0,2.0,10.0,16.0
25,26.4,47.0,12.0,135.53333333333333,46.86666666666667,29.933333333333334,84.13333333333334,15.7,2010-09,8,7,2,17,8040,150,0.0,0.0,8.0,97.0
26,31.93548387096774,51.935483870967744,17.741935483870968,104.03225806451613,36.0,28.29032258064516,85.80645161290323,9.419354838709678,2010-10,9,8,2,19,8040,166,0.0,3.0,8.0,147.0
27,30.833333333333332,52.0,16.666666666666668,58.06666666666667,17.266666666666666,27.533333333333335,89.76666666666667,3.1666666666666665,2010-11,8,7,2,17,10050,230,6.0,5.0,10.0,370.0
28,27.612903225806452,46.45161290322581,16.451612903225808,-11.451612903225806,13.709677419354838,13.741935483870968,89.96774193548387,1.6129032258064515,2010-12,11,8,4,23,8040,202,75.0,38.0,16.0,811.0
