wind_speed;hourly_highest;hourly_lowest;24_avg_temp;sunshine_duration;24_precipitation;24_avg_humidity;evaporation;Year-Month;flu: (Netherlands);Influenza: (Netherlands);Griep: (Netherlands);Total Search;ISO_YEAR;ISO_WEEK;INF_A;INF_B;ILI_ACTIVITY;SPEC_PROCESSED_NB
38.93103448275862;64.13793103448276;23.103448275862068;45.827586206896555;36.58620689655172;28.275862068965516;82.37931034482759;5.931034482758621;2016-02;19;20;16;55;20160;70;1208.0;413.0;0.0;2137.0
32.67741935483871;58.70967741935484;16.129032258064516;53.58064516129032;46.16129032258065;17.70967741935484;80.54838709677419;11.32258064516129;2016-03;15;18;9;42;16128;92;405.0;510.0;0.0;1149.0
28.933333333333334;56.333333333333336;15.0;86.8;64.93333333333334;27.433333333333334;75.5;20.4;2016-04;10;7;3;20;16128;124;52.0;117.0;0.0;269.0
31.774193548387096;52.903225806451616;13.870967741935484;145.09677419354838;69.83870967741936;14.612903225806452;70.51612903225806;28.93548387096774;2016-05;9;6;2;17;20160;200;15.0;22.0;0.0;97.0
23.366666666666667;43.0;11.666666666666666;168.2;53.2;51.4;81.1;28.4;2016-06;9;5;2;16;16128;196;3.0;0.0;0.0;41.0
24.387096774193548;47.41935483870968;10.32258064516129;183.70967741935485;66.41935483870968;23.516129032258064;77.64516129032258;31.35483870967742;2016-07;9;4;2;15;16128;228;1.0;0.0;0.0;48.0
26.774193548387096;49.354838709677416;11.612903225806452;178.80645161290323;78.45161290322581;23.06451612903226;79.12903225806451;28.096774193548388;2016-08;8;3;1;12;20160;330;5.0;2.0;0.0;39.0
20.966666666666665;42.333333333333336;10.333333333333334;172.63333333333333;70.26666666666667;5.733333333333333;79.1;21.9;2016-09;10;5;2;17;16128;300;9.0;1.0;0.0;58.0
24.129032258064516;42.58064516129032;13.225806451612904;98.87096774193549;42.67741935483871;15.064516129032258;85.96774193548387;9.483870967741936;2016-10;12;8;4;24;20160;420;11.0;2.0;0.0;147.0
29.566666666666666;51.0;15.666666666666666;54.13333333333333;27.6;24.8;88.2;3.933333333333333;2016-11;12;9;4;25;16128;372;63.0;7.0;0.0;502.0
29.193548387096776;43.87096774193548;20.0;46.67741935483871;18.903225806451612;5.387096774193548;90.2258064516129;2.225806451612903;2016-12;14;11;7;32;16128;404;480.0;8.0;0.0;1395.0
24.516129032258064;42.25806451612903;12.903225806451612;15.64516129032258;27.548387096774192;18.741935483870968;86.64516129032258;3.032258064516129;2017-01;15;17;9;41;20170;30;1855.0;24.0;0.0;2685.0
38.67857142857143;57.5;25.0;50.5;21.357142857142858;27.607142857142858;85.35714285714286;4.571428571428571;2017-02;13;16;7;36;16136;60;964.0;28.0;0.0;1285.0
32.67741935483871;58.064516129032256;17.741935483870968;85.93548387096774;56.61290322580645;19.967741935483872;77.03225806451613;13.935483870967742;2017-03;10;8;3;21;16136;92;139.0;22.0;0.0;277.0
25.5;47.666666666666664;12.666666666666666;85.56666666666666;61.8;7.9;73.0;19.933333333333334;2017-04;7;6;2;15;16136;124;15.0;12.0;0.0;77.0
24.06451612903226;51.61290322580645;12.258064516129032;149.70967741935485;72.83870967741936;11.35483870967742;72.58064516129032;31.225806451612904;2017-05;8;5;2;15;14119;137;9.0;15.0;0.0;47.0
