,Year-Month,flu: (Netherlands),Influenza: (Netherlands),Griep: (Netherlands),Total Sarch ,STN,YYYYMMDD,DDVEC,wind_speed,FG,hourly_highest,FHXH,hourly_lowest,FHNH,FXX,FXXH,24_avg_temp,TN,TNH,TX,TXH,T10N,T10NH,sunshine_duration,SP,Q,DR,24_precipitation,RHX,RHXH,PG,PX,PXH,PN,PNH,VVN,VVNH,VVX,VVXH,24_avg_humidity,UX,UXH,UN,UNH,evaporation
119,2013-12,8,6,3,17,260.0,20131216.0,199.51612903225808,41.16129032258065,44.064516129032256,63.225806451612904,10.709677419354838,27.096774193548388,8.0,119.03225806451613,11.096774193548388,59.25806451612903,32.354838709677416,10.548387096774194,85.64516129032258,12.67741935483871,17.838709677419356,14.32258064516129,24.35483870967742,31.06451612903226,209.96774193548387,24.516129032258064,21.419354838709676,8.483870967741936,7.967741935483871,10169.548387096775,10209.354838709678,10.774193548387096,10126.290322580646,12.387096774193548,39.16129032258065,9.548387096774194,72.64516129032258,11.935483870967742,86.54838709677419,95.03225806451613,9.258064516129032,73.7741935483871,13.193548387096774,2.7096774193548385
120,2014-01,9,7,4,20,260.0,20140116.0,173.5483870967742,39.193548387096776,43.74193548387097,62.25806451612903,12.451612903225806,27.419354838709676,8.32258064516129,118.38709677419355,12.32258064516129,56.516129032258064,33.064516129032256,10.258064516129032,79.80645161290323,13.387096774193548,20.322580645161292,13.935483870967742,21.580645161290324,25.806451612903224,232.41935483870967,20.35483870967742,19.967741935483872,8.387096774193548,9.935483870967742,10054.90322580645,10089.516129032258,15.290322580645162,10013.612903225807,10.258064516129032,47.806451612903224,10.67741935483871,71.74193548387096,10.258064516129032,85.87096774193549,93.90322580645162,11.580645161290322,77.3225806451613,12.516129032258064,2.967741935483871
121,2014-02,9,9,3,21,260.0,20140214.5,187.53571428571428,48.42857142857143,51.07142857142857,71.42857142857143,10.071428571428571,31.785714285714285,9.928571428571429,132.14285714285714,11.428571428571429,65.0,35.32142857142857,11.035714285714286,96.5,14.035714285714286,18.392857142857142,15.214285714285714,31.25,31.464285714285715,459.82142857142856,26.535714285714285,23.607142857142858,7.928571428571429,11.357142857142858,10031.285714285714,10078.5,14.321428571428571,9987.67857142857,13.392857142857142,57.214285714285715,11.642857142857142,78.25,12.571428571428571,81.28571428571429,92.17857142857143,10.178571428571429,67.0,13.392857142857142,6.035714285714286
122,2014-03,9,9,3,21,260.0,20140316.0,179.06451612903226,29.806451612903224,34.16129032258065,51.61290322580645,10.709677419354838,16.774193548387096,9.32258064516129,99.35483870967742,13.193548387096774,84.12903225806451,30.903225806451612,11.129032258064516,138.03225806451613,14.419354838709678,-1.1290322580645162,14.903225806451612,65.38709677419355,55.12903225806452,1075.7096774193549,5.612903225806452,8.096774193548388,2.2580645161290325,4.064516129032258,10163.967741935483,10191.354838709678,13.548387096774194,10137.0,14.03225806451613,41.25806451612903,8.193548387096774,74.7741935483871,15.548387096774194,74.90322580645162,93.12903225806451,10.064516129032258,52.83870967741935,14.806451612903226,15.258064516129032
123,2014-04,9,7,2,18,260.0,20140415.5,199.9,24.766666666666666,30.0,48.333333333333336,13.0,12.666666666666666,7.0,94.0,12.9,121.13333333333334,70.7,11.733333333333333,171.2,13.566666666666666,43.4,12.6,58.3,42.13333333333333,1423.6,8.3,19.333333333333332,12.033333333333333,5.833333333333333,10148.166666666666,10173.2,12.866666666666667,10120.966666666667,12.333333333333334,38.5,9.766666666666667,77.26666666666667,14.2,75.5,93.4,7.566666666666666,53.43333333333333,14.0,21.966666666666665
124,2014-05,9,5,2,16,260.0,20140516.0,144.7741935483871,26.129032258064516,31.516129032258064,49.354838709677416,11.290322580645162,13.870967741935484,8.903225806451612,98.38709677419355,12.096774193548388,132.38709677419354,82.58064516129032,10.548387096774194,176.6451612903226,13.580645161290322,60.58064516129032,13.548387096774194,62.064516129032256,39.54838709677419,1635.5806451612902,24.225806451612904,32.83870967741935,14.580645161290322,7.774193548387097,10153.58064516129,10183.58064516129,13.806451612903226,10121.483870967742,10.548387096774194,35.67741935483871,9.774193548387096,79.35483870967742,13.580645161290322,76.2258064516129,95.7741935483871,9.774193548387096,54.645161290322584,13.483870967741936,26.096774193548388
125,2014-06,8,4,1,13,260.0,20140615.5,252.93333333333334,21.766666666666666,26.7,45.0,12.766666666666667,9.666666666666666,7.6,86.33333333333333,11.9,161.83333333333334,103.76666666666667,9.366666666666667,209.03333333333333,14.466666666666667,81.6,11.4,76.0,45.56666666666667,1987.9333333333334,7.866666666666666,9.966666666666667,5.266666666666667,5.133333333333334,10184.233333333334,10202.966666666667,11.133333333333333,10166.2,13.966666666666667,48.36666666666667,6.8,81.4,14.7,73.53333333333333,95.3,7.333333333333333,51.733333333333334,13.8,33.63333333333333
126,2014-07,9,5,1,15,260.0,20140716.0,206.29032258064515,23.870967741935484,28.06451612903226,45.806451612903224,10.935483870967742,10.96774193548387,7.387096774193548,90.3225806451613,12.290322580645162,197.51612903225808,148.32258064516128,9.0,246.4516129032258,14.129032258064516,129.29032258064515,12.96774193548387,69.12903225806451,42.67741935483871,1813.8709677419354,13.935483870967742,44.16129032258065,28.774193548387096,7.129032258064516,10142.645161290322,10164.322580645161,11.903225806451612,10123.258064516129,11.870967741935484,38.61290322580645,7.225806451612903,78.51612903225806,13.838709677419354,77.6774193548387,96.51612903225806,7.741935483870968,57.0,13.161290322580646,33.064516129032256
127,2014-08,10,4,2,16,260.0,20140816.0,210.41935483870967,26.806451612903224,31.451612903225808,50.32258064516129,11.161290322580646,13.225806451612904,8.709677419354838,105.16129032258064,13.096774193548388,160.90322580645162,116.09677419354838,12.258064516129032,203.96774193548387,13.419354838709678,92.25806451612904,14.129032258064516,64.19354838709677,43.645161290322584,1446.483870967742,19.93548387096774,48.0,24.032258064516128,10.483870967741936,10117.09677419355,10143.193548387097,13.612903225806452,10088.677419354839,10.516129032258064,39.064516129032256,9.129032258064516,79.96774193548387,13.35483870967742,81.7741935483871,97.12903225806451,5.967741935483871,59.806451612903224,13.32258064516129,24.548387096774192
128,2014-09,10,7,2,19,260.0,20140915.5,175.8,20.066666666666666,22.433333333333334,39.666666666666664,11.633333333333333,7.666666666666667,7.266666666666667,76.33333333333333,13.4,158.53333333333333,105.43333333333334,9.6,209.83333333333334,13.5,79.86666666666666,12.0,57.96666666666667,45.53333333333333,1152.3666666666666,4.166666666666667,6.666666666666667,3.2,2.5,10189.166666666666,10206.133333333333,13.0,10172.5,10.466666666666667,14.0,8.333333333333334,76.03333333333333,14.3,84.13333333333334,99.2,6.433333333333334,61.46666666666667,13.466666666666667,19.433333333333334
